Corruption,Severity,Acc,Class Acc
occlusion,1,0.5494327390599676,0.5834011627906976
occlusion,2,0.6106158833063209,0.6059418604651162
occlusion,3,0.5652350081037277,0.5752034883720929
occlusion,4,0.49432739059967584,0.5396220930232558
occlusion,5,0.4513776337115073,0.4963313953488372
lidar,1,0.5287682333873582,0.537563953488372
lidar,2,0.6247974068071313,0.5890872093023256
lidar,3,0.5518638573743923,0.5378837209302325
lidar,4,0.4639384116693679,0.4880174418604651
lidar,5,0.4145056726094003,0.44426162790697676
density_inc,1,0.9173419773095624,0.8771627906976743
density_inc,2,0.9157212317666127,0.879796511627907
density_inc,3,0.9128849270664505,0.8716744186046512
density_inc,4,0.9145056726094003,0.8739651162790697
density_inc,5,0.9136952998379254,0.8755872093023257
density,1,0.9230145867098866,0.8850755813953487
density,2,0.9181523500810372,0.8795058139534884
density,3,0.9116693679092382,0.8722209302325581
density,4,0.9084278768233387,0.8693081395348837
density,5,0.9019448946515397,0.864843023255814
cutout,1,0.9173419773095624,0.8702093023255812
cutout,2,0.9080226904376013,0.8667151162790698
cutout,3,0.910453808752026,0.8668023255813952
cutout,4,0.899513776337115,0.857093023255814
cutout,5,0.880064829821718,0.8351860465116279
uniform,1,0.9128849270664505,0.8739651162790697
uniform,2,0.906807131280389,0.8754651162790698
uniform,3,0.8849270664505673,0.8400465116279069
uniform,4,0.853322528363047,0.801389534883721
uniform,5,0.8132090761750406,0.7605581395348837
gaussian,1,0.9088330632090762,0.871093023255814
gaussian,2,0.8938411669367909,0.8439302325581396
gaussian,3,0.8642625607779578,0.8105174418604651
gaussian,4,0.8294165316045381,0.7640581395348838
gaussian,5,0.7662074554294975,0.6893662790697674
impulse,1,0.7872771474878444,0.7275406976744186
impulse,2,0.7747163695299838,0.7086511627906977
impulse,3,0.7256888168557536,0.6545465116279069
impulse,4,0.6738249594813615,0.5865116279069768
impulse,5,0.5409238249594813,0.45671511627906974
upsampling,1,0.8804700162074555,0.8362267441860466
upsampling,2,0.86709886547812,0.8278604651162791
upsampling,3,0.8666936790923825,0.822220930232558
upsampling,4,0.8310372771474879,0.7755697674418605
upsampling,5,0.8030794165316045,0.736872093023256
background,1,0.7074554294975689,0.6321511627906976
background,2,0.6750405186385737,0.5994069767441861
background,3,0.6434359805510534,0.5618720930232558
background,4,0.586709886547812,0.5005058139534884
background,5,0.4246353322528363,0.36250581395348835
rotation,1,0.9157212317666127,0.8766744186046512
rotation,2,0.9096434359805511,0.8715872093023256
rotation,3,0.8796596434359806,0.8389767441860465
rotation,4,0.803484602917342,0.7719418604651163
rotation,5,0.5725283630470016,0.5572441860465116
shear,1,0.9181523500810372,0.8777906976744185
shear,2,0.913290113452188,0.8788372093023256
shear,3,0.9027552674230146,0.8603895348837209
shear,4,0.873581847649919,0.8247034883720931
shear,5,0.8282009724473258,0.7784825581395349
distortion,1,0.9189627228525121,0.8838837209302325
distortion,2,0.913290113452188,0.8743372093023256
distortion,3,0.9027552674230146,0.8565988372093024
distortion,4,0.8679092382495948,0.8291976744186046
distortion,5,0.8261750405186385,0.7896802325581396
distortion_rbf,1,0.9153160453808752,0.8696279069767442
distortion_rbf,2,0.9108589951377634,0.8675058139534884
distortion_rbf,3,0.896677471636953,0.8486860465116279
distortion_rbf,4,0.8549432739059968,0.8080348837209304
distortion_rbf,5,0.8132090761750406,0.7764011627906976
distortion_rbf_inv,1,0.913290113452188,0.8751279069767441
distortion_rbf_inv,2,0.9072123176661264,0.8655523255813954
distortion_rbf_inv,3,0.9011345218800648,0.8579709302325582
distortion_rbf_inv,4,0.869935170178282,0.8268720930232558
distortion_rbf_inv,5,0.8241491085899514,0.7799302325581395
