Corruption,Severity,Acc,Class Acc
occlusion,1,0.489870340356564,0.5343197674418605
occlusion,2,0.5628038897893031,0.5746860465116279
occlusion,3,0.5591572123176661,0.5756569767441861
occlusion,4,0.489870340356564,0.5323313953488371
occlusion,5,0.4181523500810373,0.4699534883720931
lidar,1,0.46880064829821716,0.4806279069767442
lidar,2,0.5709076175040518,0.5555290697674418
lidar,3,0.5705024311183144,0.5551046511627906
lidar,4,0.47487844408427876,0.49235465116279065
lidar,5,0.39708265802269044,0.4199476744186047
density_inc,1,0.913290113452188,0.8740465116279068
density_inc,2,0.9092382495948136,0.8695523255813953
density_inc,3,0.9120745542949756,0.8770523255813953
density_inc,4,0.913290113452188,0.8762965116279069
density_inc,5,0.9043760129659644,0.8623430232558139
density,1,0.9161264181523501,0.8762906976744187
density,2,0.9141004862236629,0.8756279069767441
density,3,0.9100486223662885,0.8717558139534883
density,4,0.9043760129659644,0.8667267441860466
density,5,0.899513776337115,0.8656802325581395
cutout,1,0.9128849270664505,0.8712558139534885
cutout,2,0.9120745542949756,0.8753779069767443
cutout,3,0.8991085899513777,0.8607616279069769
cutout,4,0.8918152350081038,0.8550930232558139
cutout,5,0.869935170178282,0.8236511627906976
uniform,1,0.9112641815235009,0.8739593023255814
uniform,2,0.9055915721231766,0.8615406976744187
uniform,3,0.8914100486223663,0.8379999999999999
uniform,4,0.8707455429497569,0.8211337209302325
uniform,5,0.8399513776337115,0.7828023255813954
gaussian,1,0.9035656401944895,0.863546511627907
gaussian,2,0.890194489465154,0.8417093023255815
gaussian,3,0.8602106969205835,0.806220930232558
gaussian,4,0.8342787682333873,0.7882209302325581
gaussian,5,0.7799837925445705,0.7172790697674418
impulse,1,0.786871961102107,0.7295406976744185
impulse,2,0.7816045380875203,0.7262906976744186
impulse,3,0.7487844408427877,0.6735872093023255
impulse,4,0.7106969205834684,0.6422267441860466
impulse,5,0.6418152350081038,0.5489883720930233
upsampling,1,0.8885737439222042,0.8390058139534883
upsampling,2,0.880064829821718,0.8359709302325582
upsampling,3,0.8780388978930308,0.8271744186046511
upsampling,4,0.8585899513776337,0.8033488372093023
upsampling,5,0.8298217179902755,0.7744767441860465
background,1,0.7135332252836305,0.6423255813953489
background,2,0.6981361426256077,0.620453488372093
background,3,0.666936790923825,0.58025
background,4,0.6304700162074555,0.5371744186046512
background,5,0.4947325769854133,0.41469767441860467
rotation,1,0.9112641815235009,0.8757965116279071
rotation,2,0.9023500810372771,0.8647151162790699
rotation,3,0.8918152350081038,0.8524651162790697
rotation,4,0.8205024311183144,0.7802616279069767
rotation,5,0.5757698541329012,0.5604127906976745
shear,1,0.9193679092382496,0.8843720930232559
shear,2,0.9173419773095624,0.884
shear,3,0.8982982171799028,0.8583837209302325
shear,4,0.8703403565640194,0.8213139534883721
shear,5,0.8314424635332253,0.7796279069767442
distortion,1,0.9165316045380876,0.8782965116279069
distortion,2,0.9112641815235009,0.8751686046511628
distortion,3,0.9007293354943274,0.8590523255813952
distortion,4,0.8731766612641815,0.8285232558139535
distortion,5,0.8346839546191248,0.7990000000000002
distortion_rbf,1,0.9173419773095624,0.878203488372093
distortion_rbf,2,0.9088330632090762,0.8706686046511628
distortion_rbf,3,0.8978930307941653,0.8550988372093024
distortion_rbf,4,0.8691247974068071,0.8258139534883722
distortion_rbf,5,0.8083468395461912,0.7643081395348836
distortion_rbf_inv,1,0.9189627228525121,0.88325
distortion_rbf_inv,2,0.9088330632090762,0.8675872093023255
distortion_rbf_inv,3,0.8942463533225283,0.8493779069767442
distortion_rbf_inv,4,0.8675040518638574,0.8256453488372092
distortion_rbf_inv,5,0.8310372771474879,0.7854534883720931
