Corruption,Severity,Acc,Class Acc
occlusion,1,0.49351701782820095,0.5369011627906977
occlusion,2,0.563614262560778,0.579313953488372
occlusion,3,0.5794165316045381,0.5868197674418605
occlusion,4,0.5052674230145867,0.5529941860465116
occlusion,5,0.4452998379254457,0.4892441860465116
lidar,1,0.47042139384116693,0.48065697674418606
lidar,2,0.5773905996758509,0.5683953488372093
lidar,3,0.61709886547812,0.5984011627906977
lidar,4,0.49878444084278767,0.5141279069767443
lidar,5,0.4444894651539708,0.46647093023255815
density_inc,1,0.9076175040518638,0.8689186046511628
density_inc,2,0.9047811993517018,0.8666279069767441
density_inc,3,0.9019448946515397,0.8633837209302326
density_inc,4,0.906807131280389,0.8706337209302326
density_inc,5,0.9027552674230146,0.8608837209302326
density,1,0.9076175040518638,0.8753430232558139
density,2,0.9055915721231766,0.8675930232558139
density,3,0.903160453808752,0.864593023255814
density,4,0.8893841166936791,0.8553953488372092
density,5,0.8833063209076175,0.8475988372093022
cutout,1,0.9027552674230146,0.8663837209302325
cutout,2,0.9084278768233387,0.8675523255813953
cutout,3,0.8926256077795786,0.8543081395348839
cutout,4,0.8853322528363047,0.8487674418604652
cutout,5,0.8760129659643436,0.837232558139535
uniform,1,0.9100486223662885,0.8712093023255815
uniform,2,0.9027552674230146,0.8589127906976743
uniform,3,0.8926256077795786,0.8436162790697674
uniform,4,0.8589951377633711,0.8052558139534884
uniform,5,0.8338735818476499,0.7763081395348838
gaussian,1,0.906807131280389,0.8692093023255814
gaussian,2,0.890194489465154,0.8436279069767443
gaussian,3,0.8630470016207455,0.8065116279069766
gaussian,4,0.8237439222042139,0.7617732558139535
gaussian,5,0.7743111831442464,0.7160058139534884
impulse,1,0.7532414910858996,0.6910523255813954
impulse,2,0.7410858995137763,0.6698488372093022
impulse,3,0.7058346839546191,0.6359825581395349
impulse,4,0.6507293354943274,0.5706686046511628
impulse,5,0.5579416531604539,0.4621976744186047
upsampling,1,0.8881685575364667,0.8452558139534883
upsampling,2,0.876418152350081,0.8381744186046511
upsampling,3,0.86709886547812,0.8188895348837211
upsampling,4,0.8480551053484603,0.7970581395348837
upsampling,5,0.8192868719611021,0.7658197674418605
background,1,0.7021880064829822,0.6237616279069768
background,2,0.6774716369529984,0.5928895348837209
background,3,0.6462722852512156,0.5727267441860466
background,4,0.5992706645056726,0.5088953488372093
background,5,0.4627228525121556,0.38586627906976745
rotation,1,0.9116693679092382,0.8712499999999999
rotation,2,0.8974878444084279,0.8596337209302327
rotation,3,0.8715559157212318,0.8382616279069767
rotation,4,0.7913290113452188,0.7677558139534885
rotation,5,0.5465964343598055,0.5111686046511628
shear,1,0.9128849270664505,0.8759186046511628
shear,2,0.9084278768233387,0.8693372093023257
shear,3,0.8926256077795786,0.8484302325581397
shear,4,0.8618314424635333,0.8185406976744186
shear,5,0.8326580226904376,0.7806046511627907
distortion,1,0.9096434359805511,0.8744244186046511
distortion,2,0.9100486223662885,0.8720465116279069
distortion,3,0.8942463533225283,0.8576337209302327
distortion,4,0.8622366288492707,0.8246046511627906
distortion,5,0.8148298217179902,0.7739593023255814
distortion_rbf,1,0.9108589951377634,0.8735872093023257
distortion_rbf,2,0.9108589951377634,0.8739186046511629
distortion_rbf,3,0.8893841166936791,0.8413837209302326
distortion_rbf,4,0.8525121555915721,0.8089476744186047
distortion_rbf,5,0.8091572123176661,0.7644709302325581
distortion_rbf_inv,1,0.9161264181523501,0.8789941860465117
distortion_rbf_inv,2,0.9011345218800648,0.8658023255813954
distortion_rbf_inv,3,0.8954619124797407,0.8555523255813954
distortion_rbf_inv,4,0.8662884927066451,0.8268895348837209
distortion_rbf_inv,5,0.8225283630470016,0.7773372093023256
