Corruption,Severity,Acc,Class Acc
occlusion,1,0.4991896272285251,0.5422383720930233
occlusion,2,0.5818476499189628,0.5930697674418605
occlusion,3,0.5668557536466775,0.5835348837209302
occlusion,4,0.48419773095623986,0.5253313953488371
occlusion,5,0.4359805510534846,0.4839127906976744
lidar,1,0.48946515397082657,0.5030465116279069
lidar,2,0.6187196110210696,0.6020697674418605
lidar,3,0.5818476499189628,0.5696802325581396
lidar,4,0.4813614262560778,0.4911453488372093
lidar,5,0.42544570502431117,0.4451918604651163
density_inc,1,0.9161264181523501,0.8779651162790698
density_inc,2,0.9136952998379254,0.8748488372093022
density_inc,3,0.9128849270664505,0.8766337209302325
density_inc,4,0.9108589951377634,0.8733023255813954
density_inc,5,0.9076175040518638,0.8720581395348838
density,1,0.9181523500810372,0.8805406976744186
density,2,0.9161264181523501,0.8798372093023256
density,3,0.9092382495948136,0.8696395348837209
density,4,0.9051863857374393,0.8641860465116279
density,5,0.9015397082658023,0.8644302325581394
cutout,1,0.9177471636952999,0.8816337209302325
cutout,2,0.9072123176661264,0.8745174418604652
cutout,3,0.9051863857374393,0.867389534883721
cutout,4,0.8987034035656402,0.8638081395348836
cutout,5,0.8756077795786061,0.8333720930232559
uniform,1,0.9205834683954619,0.8826627906976743
uniform,2,0.9157212317666127,0.8740813953488372
uniform,3,0.8942463533225283,0.8512558139534885
uniform,4,0.8654781199351702,0.820017441860465
uniform,5,0.8322528363047001,0.7755290697674418
gaussian,1,0.9084278768233387,0.8737209302325581
gaussian,2,0.8897893030794165,0.8488953488372093
gaussian,3,0.8444084278768234,0.7957965116279069
gaussian,4,0.8095623987034035,0.7555523255813954
gaussian,5,0.7479740680713128,0.6873662790697674
impulse,1,0.7524311183144247,0.6882790697674419
impulse,2,0.7374392220421394,0.6683662790697674
impulse,3,0.6904376012965965,0.6146627906976744
impulse,4,0.626418152350081,0.5463720930232558
impulse,5,0.49432739059967584,0.40683139534883717
upsampling,1,0.8788492706645057,0.830110465116279
upsampling,2,0.8602106969205835,0.8199534883720931
upsampling,3,0.8517017828200972,0.8103313953488372
upsampling,4,0.8399513776337115,0.7921279069767442
upsampling,5,0.7986223662884927,0.7417209302325581
background,1,0.7196110210696921,0.6530000000000001
background,2,0.6961102106969206,0.6252616279069767
background,3,0.6592382495948136,0.594360465116279
background,4,0.6012965964343598,0.5208255813953488
background,5,0.43557536466774716,0.3763081395348837
rotation,1,0.9173419773095624,0.8828779069767443
rotation,2,0.9108589951377634,0.8732151162790697
rotation,3,0.8731766612641815,0.8453313953488373
rotation,4,0.8038897893030794,0.7716104651162791
rotation,5,0.5660453808752026,0.5341802325581396
shear,1,0.9185575364667747,0.8855465116279069
shear,2,0.9153160453808752,0.8803837209302326
shear,3,0.9043760129659644,0.8642674418604651
shear,4,0.8707455429497569,0.8268837209302327
shear,5,0.8346839546191248,0.7867093023255813
distortion,1,0.9161264181523501,0.8859651162790698
distortion,2,0.9153160453808752,0.8773430232558139
distortion,3,0.903160453808752,0.8633895348837208
distortion,4,0.8715559157212318,0.8377383720930233
distortion,5,0.8217179902755267,0.7870697674418604
distortion_rbf,1,0.9181523500810372,0.8826686046511629
distortion_rbf,2,0.9157212317666127,0.8717965116279072
distortion_rbf,3,0.8873581847649918,0.8497034883720931
distortion_rbf,4,0.8500810372771475,0.8113372093023257
distortion_rbf,5,0.7965964343598055,0.7584476744186046
distortion_rbf_inv,1,0.9193679092382496,0.8820872093023256
distortion_rbf_inv,2,0.9153160453808752,0.8820116279069767
distortion_rbf_inv,3,0.9019448946515397,0.8601046511627907
distortion_rbf_inv,4,0.8683144246353323,0.8339883720930233
distortion_rbf_inv,5,0.8148298217179902,0.7689767441860466
