Corruption,Severity,Acc,Class Acc
occlusion,1,0.4558346839546191,0.4966162790697674
occlusion,2,0.5133711507293355,0.539232558139535
occlusion,3,0.5251215559157212,0.5500755813953488
occlusion,4,0.46717990275526744,0.5122034883720931
occlusion,5,0.4161264181523501,0.4677848837209302
lidar,1,0.4513776337115073,0.45466860465116277
lidar,2,0.5470016207455429,0.5321162790697674
lidar,3,0.5591572123176661,0.5282674418604651
lidar,4,0.46110210696920584,0.4565581395348837
lidar,5,0.40559157212317665,0.42218604651162794
density_inc,1,0.890194489465154,0.8513023255813954
density_inc,2,0.8889789303079416,0.8491918604651163
density_inc,3,0.8812803889789304,0.8380697674418606
density_inc,4,0.8837115072933549,0.8473604651162792
density_inc,5,0.8792544570502431,0.8363139534883721
density,1,0.8881685575364667,0.8537325581395349
density,2,0.8849270664505673,0.8478546511627908
density,3,0.8626418152350082,0.8181162790697675
density,4,0.8557536466774717,0.8196220930232558
density,5,0.8363047001620746,0.7922906976744186
cutout,1,0.8885737439222042,0.8472674418604651
cutout,2,0.8788492706645057,0.8351860465116279
cutout,3,0.8723662884927067,0.8373662790697673
cutout,4,0.8488654781199352,0.8076627906976744
cutout,5,0.8298217179902755,0.7716279069767442
uniform,1,0.8950567260940032,0.8580174418604651
uniform,2,0.8881685575364667,0.8460988372093023
uniform,3,0.8893841166936791,0.8449244186046512
uniform,4,0.8561588330632091,0.807610465116279
uniform,5,0.8363047001620746,0.7839011627906978
gaussian,1,0.8893841166936791,0.8484360465116281
gaussian,2,0.8760129659643436,0.8382267441860465
gaussian,3,0.8626418152350082,0.8117732558139534
gaussian,4,0.8322528363047001,0.7766976744186046
gaussian,5,0.7953808752025932,0.7308372093023257
impulse,1,0.7512155591572123,0.6866511627906976
impulse,2,0.7325769854132901,0.6667848837209303
impulse,3,0.6948946515397083,0.6220872093023255
impulse,4,0.6482982171799028,0.5703488372093023
impulse,5,0.5583468395461912,0.47424418604651164
upsampling,1,0.8788492706645057,0.8297325581395348
upsampling,2,0.8808752025931929,0.836186046511628
upsampling,3,0.876418152350081,0.8201453488372092
upsampling,4,0.8638573743922204,0.8138313953488373
upsampling,5,0.8585899513776337,0.8067441860465117
background,1,0.6474878444084279,0.5759767441860465
background,2,0.6195299837925445,0.5362325581395349
background,3,0.5879254457050244,0.5100813953488371
background,4,0.5303889789303079,0.45162790697674415
background,5,0.3602106969205835,0.2983430232558139
rotation,1,0.8934359805510534,0.8566860465116278
rotation,2,0.8768233387358185,0.8419883720930234
rotation,3,0.839546191247974,0.8055
rotation,4,0.7662074554294975,0.7285058139534883
rotation,5,0.5263371150729336,0.48891279069767446
shear,1,0.896677471636953,0.8583081395348838
shear,2,0.893030794165316,0.8558546511627906
shear,3,0.8630470016207455,0.8166627906976744
shear,4,0.8371150729335495,0.7948488372093023
shear,5,0.799837925445705,0.7422441860465117
distortion,1,0.9019448946515397,0.8680581395348836
distortion,2,0.8918152350081038,0.8552325581395348
distortion,3,0.8675040518638574,0.8249476744186047
distortion,4,0.8419773095623987,0.794203488372093
distortion,5,0.7893030794165316,0.7471918604651162
distortion_rbf,1,0.896677471636953,0.8562267441860467
distortion_rbf,2,0.8893841166936791,0.8541511627906978
distortion_rbf,3,0.8614262560777958,0.8265
distortion_rbf,4,0.8298217179902755,0.7796744186046511
distortion_rbf,5,0.786871961102107,0.7464476744186046
distortion_rbf_inv,1,0.903160453808752,0.8706395348837208
distortion_rbf_inv,2,0.8934359805510534,0.8646976744186047
distortion_rbf_inv,3,0.8687196110210696,0.8287441860465116
distortion_rbf_inv,4,0.8476499189627229,0.8087441860465117
distortion_rbf_inv,5,0.7986223662884927,0.7506046511627907
