Corruption,Severity,Acc,Class Acc
occlusion,1,0.473257698541329,0.5260755813953488
occlusion,2,0.5542949756888168,0.570110465116279
occlusion,3,0.6175040518638574,0.628860465116279
occlusion,4,0.5332252836304701,0.5713720930232558
occlusion,5,0.45016207455429497,0.5001162790697675
lidar,1,0.4712317666126418,0.48892441860465113
lidar,2,0.5563209076175041,0.5416511627906977
lidar,3,0.6470826580226904,0.6288720930232559
lidar,4,0.5117504051863857,0.5345930232558139
lidar,5,0.4367909238249595,0.4639825581395349
density_inc,1,0.9039708265802269,0.867296511627907
density_inc,2,0.9064019448946515,0.8655058139534884
density_inc,3,0.9027552674230146,0.8649709302325583
density_inc,4,0.9055915721231766,0.868720930232558
density_inc,5,0.9015397082658023,0.8622209302325581
density,1,0.906807131280389,0.868796511627907
density,2,0.9047811993517018,0.8705988372093023
density,3,0.8958670988654781,0.8550116279069766
density,4,0.8946515397082658,0.8545988372093024
density,5,0.8768233387358185,0.8372674418604651
cutout,1,0.9076175040518638,0.871546511627907
cutout,2,0.8991085899513777,0.863889534883721
cutout,3,0.8954619124797407,0.8585116279069768
cutout,4,0.8869529983792545,0.8485174418604651
cutout,5,0.8630470016207455,0.8239883720930233
uniform,1,0.910453808752026,0.8740930232558138
uniform,2,0.9092382495948136,0.8620872093023255
uniform,3,0.8946515397082658,0.8450406976744187
uniform,4,0.8752025931928687,0.8230872093023256
uniform,5,0.843192868719611,0.7862616279069767
gaussian,1,0.9039708265802269,0.8672093023255816
gaussian,2,0.8905996758508914,0.8436686046511628
gaussian,3,0.8650729335494327,0.815093023255814
gaussian,4,0.8399513776337115,0.7860116279069767
gaussian,5,0.8018638573743923,0.7440232558139535
impulse,1,0.7698541329011345,0.7059593023255815
impulse,2,0.7532414910858996,0.6835872093023256
impulse,3,0.7264991896272285,0.653936046511628
impulse,4,0.68354943273906,0.601
impulse,5,0.5863047001620746,0.49290116279069773
upsampling,1,0.8845218800648298,0.8482209302325583
upsampling,2,0.8808752025931929,0.8371395348837207
upsampling,3,0.8707455429497569,0.831639534883721
upsampling,4,0.8594003241491086,0.8067325581395348
upsampling,5,0.8435980551053485,0.7826918604651163
background,1,0.7175850891410048,0.6364651162790699
background,2,0.700162074554295,0.6267325581395349
background,3,0.6758508914100486,0.5890697674418605
background,4,0.6191247974068071,0.5363313953488372
background,5,0.4546191247974068,0.3774186046511628
rotation,1,0.9080226904376013,0.8702151162790697
rotation,2,0.899513776337115,0.8637558139534883
rotation,3,0.8622366288492707,0.8280116279069768
rotation,4,0.7722852512155591,0.7424011627906977
rotation,5,0.5486223662884927,0.5211220930232559
shear,1,0.9124797406807131,0.874546511627907
shear,2,0.9076175040518638,0.8720465116279069
shear,3,0.8841166936790924,0.8417267441860463
shear,4,0.8614262560777958,0.8180755813953489
shear,5,0.8225283630470016,0.7667732558139535
distortion,1,0.9161264181523501,0.8795465116279069
distortion,2,0.9072123176661264,0.8740523255813955
distortion,3,0.8857374392220422,0.845139534883721
distortion,4,0.8573743922204214,0.8188546511627907
distortion,5,0.8030794165316045,0.7588837209302326
distortion_rbf,1,0.9128849270664505,0.8753837209302325
distortion_rbf,2,0.9023500810372771,0.8620058139534883
distortion_rbf,3,0.8812803889789304,0.8387732558139535
distortion_rbf,4,0.8521069692058347,0.8067790697674418
distortion_rbf,5,0.809967585089141,0.7695930232558139
distortion_rbf_inv,1,0.9161264181523501,0.8789186046511628
distortion_rbf_inv,2,0.906807131280389,0.866796511627907
distortion_rbf_inv,3,0.890194489465154,0.8540581395348837
distortion_rbf_inv,4,0.8622366288492707,0.8197732558139534
distortion_rbf_inv,5,0.8249594813614263,0.779796511627907
