Corruption,Severity,Acc,Class Acc
occlusion,1,0.5113452188006483,0.5487151162790698
occlusion,2,0.559967585089141,0.5686337209302326
occlusion,3,0.5628038897893031,0.5870116279069768
occlusion,4,0.516612641815235,0.552313953488372
occlusion,5,0.45097244732576985,0.4953604651162792
lidar,1,0.4979740680713128,0.5059302325581395
lidar,2,0.593192868719611,0.5832209302325582
lidar,3,0.5842787682333873,0.5668779069767442
lidar,4,0.5016207455429498,0.5024709302325581
lidar,5,0.43233387358184766,0.4519709302325582
density_inc,1,0.9128849270664505,0.8726220930232558
density_inc,2,0.9149108589951378,0.8758837209302325
density_inc,3,0.9084278768233387,0.8677151162790697
density_inc,4,0.9124797406807131,0.8682093023255815
density_inc,5,0.9039708265802269,0.8596395348837209
density,1,0.9153160453808752,0.8724593023255813
density,2,0.9136952998379254,0.8690465116279069
density,3,0.9092382495948136,0.8662151162790698
density,4,0.9035656401944895,0.8606744186046512
density,5,0.890194489465154,0.849389534883721
cutout,1,0.910453808752026,0.8650058139534884
cutout,2,0.906807131280389,0.8629302325581396
cutout,3,0.9076175040518638,0.8703837209302325
cutout,4,0.8982982171799028,0.8557209302325581
cutout,5,0.8642625607779578,0.8137267441860466
uniform,1,0.9185575364667747,0.8757848837209302
uniform,2,0.9141004862236629,0.8697034883720931
uniform,3,0.903160453808752,0.8564593023255813
uniform,4,0.8695299837925445,0.8183023255813954
uniform,5,0.8415721231766613,0.7877732558139536
gaussian,1,0.9108589951377634,0.8685
gaussian,2,0.9055915721231766,0.85975
gaussian,3,0.8796596434359806,0.8283430232558139
gaussian,4,0.8371150729335495,0.7810755813953488
gaussian,5,0.784035656401945,0.7166744186046511
impulse,1,0.7029983792544571,0.6547383720930233
impulse,2,0.6738249594813615,0.6138779069767442
impulse,3,0.6207455429497569,0.5615523255813952
impulse,4,0.5514586709886548,0.48844767441860454
impulse,5,0.46677471636953,0.3974767441860465
upsampling,1,0.8792544570502431,0.8276744186046511
upsampling,2,0.8804700162074555,0.836017441860465
upsampling,3,0.8683144246353323,0.8213081395348837
upsampling,4,0.8488654781199352,0.7883546511627907
upsampling,5,0.8184764991896273,0.7585465116279071
background,1,0.5903565640194489,0.5173313953488373
background,2,0.5518638573743923,0.4846802325581395
background,3,0.5125607779578606,0.44056395348837213
background,4,0.44692058346839547,0.386953488372093
background,5,0.28970826580226905,0.24912209302325578
rotation,1,0.9193679092382496,0.8808720930232559
rotation,2,0.9084278768233387,0.8725872093023256
rotation,3,0.880064829821718,0.8409418604651163
rotation,4,0.8196920583468396,0.784529069767442
rotation,5,0.6077795786061588,0.5772848837209302
shear,1,0.9205834683954619,0.8831627906976746
shear,2,0.9217990275526742,0.8865406976744186
shear,3,0.9112641815235009,0.8755174418604652
shear,4,0.8910048622366289,0.8452790697674418
shear,5,0.8687196110210696,0.8207906976744186
distortion,1,0.919773095623987,0.8821627906976743
distortion,2,0.9153160453808752,0.8775406976744187
distortion,3,0.903160453808752,0.8606279069767442
distortion,4,0.8739870340356564,0.8306104651162791
distortion,5,0.836709886547812,0.8010058139534884
distortion_rbf,1,0.9189627228525121,0.8779127906976744
distortion_rbf,2,0.9128849270664505,0.8725813953488373
distortion_rbf,3,0.903160453808752,0.8596395348837209
distortion_rbf,4,0.8756077795786061,0.8314011627906976
distortion_rbf,5,0.8172609400324149,0.7671860465116279
distortion_rbf_inv,1,0.9213938411669368,0.8832441860465117
distortion_rbf_inv,2,0.913290113452188,0.8763779069767441
distortion_rbf_inv,3,0.8991085899513777,0.857343023255814
distortion_rbf_inv,4,0.8752025931928687,0.8341046511627906
distortion_rbf_inv,5,0.8350891410048622,0.793093023255814
