2024-04-30 05:07:46,567 - Model - INFO - PARAMETER ...
2024-04-30 05:07:46,567 - Model - INFO - Namespace(batch_size=24, dataset='MNC', gpu='0', log_dir='pn2_ssg_oup_wrs', model='pointnet2_cls_ssg', num_category=40, num_point=1024, num_votes=3, sample_type='wrs', step_size=0.03, use_cpu=False, use_normal=False, use_normals=False, use_uniform_sample=False, use_upsample='no')
2024-04-30 05:07:48,480 - Model - INFO - Load dataset ...
2024-04-30 05:08:37,453 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.594903, Class Accuracy: 0.622656
2024-04-30 05:09:30,927 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.644256, Class Accuracy: 0.664670
2024-04-30 05:10:22,975 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.663269, Class Accuracy: 0.658996
2024-04-30 05:11:12,285 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.635113, Class Accuracy: 0.657155
2024-04-30 05:12:01,839 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.531230, Class Accuracy: 0.567507
2024-04-30 05:12:48,807 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.599353, Class Accuracy: 0.606277
2024-04-30 05:13:36,225 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.658981, Class Accuracy: 0.631233
2024-04-30 05:14:23,373 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.683576, Class Accuracy: 0.656448
2024-04-30 05:15:10,447 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.612136, Class Accuracy: 0.601068
2024-04-30 05:15:57,470 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.539401, Class Accuracy: 0.557270
2024-04-30 05:16:46,768 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.907686, Class Accuracy: 0.874378
2024-04-30 05:17:35,380 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.906796, Class Accuracy: 0.868266
2024-04-30 05:18:22,103 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.904773, Class Accuracy: 0.868754
2024-04-30 05:19:05,353 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.901942, Class Accuracy: 0.858527
2024-04-30 05:19:42,511 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.892314, Class Accuracy: 0.856874
2024-04-30 05:20:17,844 - Model - INFO - data_density_1: Test Instance Accuracy: 0.914968, Class Accuracy: 0.880591
2024-04-30 05:20:37,905 - Model - INFO - data_density_2: Test Instance Accuracy: 0.914563, Class Accuracy: 0.882781
2024-04-30 05:21:11,963 - Model - INFO - data_density_3: Test Instance Accuracy: 0.907686, Class Accuracy: 0.872834
2024-04-30 05:21:44,525 - Model - INFO - data_density_4: Test Instance Accuracy: 0.911650, Class Accuracy: 0.879029
2024-04-30 05:22:17,689 - Model - INFO - data_density_5: Test Instance Accuracy: 0.905663, Class Accuracy: 0.867192
2024-04-30 05:22:51,918 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.918123, Class Accuracy: 0.882381
2024-04-30 05:23:27,776 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.912540, Class Accuracy: 0.875186
2024-04-30 05:24:02,685 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.914159, Class Accuracy: 0.880440
2024-04-30 05:24:37,383 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.912945, Class Accuracy: 0.882032
2024-04-30 05:25:10,643 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.908900, Class Accuracy: 0.872306
2024-04-30 05:25:45,085 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.883010, Class Accuracy: 0.838915
2024-04-30 05:26:20,851 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.845388, Class Accuracy: 0.805223
2024-04-30 05:26:55,571 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.778883, Class Accuracy: 0.741429
2024-04-30 05:27:31,153 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.666909, Class Accuracy: 0.634649
2024-04-30 05:28:05,846 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.534385, Class Accuracy: 0.512816
2024-04-30 05:28:41,748 - Model - INFO - data_gaussian_1: Test Instance Accuracy: 0.885032, Class Accuracy: 0.844724
2024-04-30 05:29:17,224 - Model - INFO - data_gaussian_2: Test Instance Accuracy: 0.851052, Class Accuracy: 0.808936
2024-04-30 05:29:52,638 - Model - INFO - data_gaussian_3: Test Instance Accuracy: 0.817476, Class Accuracy: 0.768342
2024-04-30 05:30:28,207 - Model - INFO - data_gaussian_4: Test Instance Accuracy: 0.739563, Class Accuracy: 0.694567
2024-04-30 05:31:03,452 - Model - INFO - data_gaussian_5: Test Instance Accuracy: 0.636812, Class Accuracy: 0.593265
2024-04-30 05:31:39,338 - Model - INFO - data_impulse_1: Test Instance Accuracy: 0.878560, Class Accuracy: 0.837449
2024-04-30 05:32:15,169 - Model - INFO - data_impulse_2: Test Instance Accuracy: 0.877346, Class Accuracy: 0.840189
