2024-04-23 02:01:24,951 - Model - INFO - PARAMETER ...
2024-04-23 02:01:24,952 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='2', log_dir='uad_wfps_a10', model_path='', num_category=40, num_points=1024, num_votes=3, sample_type='wfps', step_size=0.02, test_batch_size=8, upsample_pc='rweighted', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-23 02:01:26,246 - Model - INFO - Load dataset ...
2024-04-23 02:01:39,436 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.503647, Class Accuracy: 0.554314
2024-04-23 02:01:48,977 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.565640, Class Accuracy: 0.582390
2024-04-23 02:01:58,581 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.604943, Class Accuracy: 0.620849
2024-04-23 02:02:08,586 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.510940, Class Accuracy: 0.558988
2024-04-23 02:02:19,118 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.455835, Class Accuracy: 0.502157
2024-04-23 02:02:29,116 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.464344, Class Accuracy: 0.472738
2024-04-23 02:02:38,879 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.557131, Class Accuracy: 0.540773
2024-04-23 02:02:48,892 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.611021, Class Accuracy: 0.588209
2024-04-23 02:03:00,601 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.491491, Class Accuracy: 0.502767
2024-04-23 02:03:14,131 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.428282, Class Accuracy: 0.451012
2024-04-23 02:03:25,244 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.910859, Class Accuracy: 0.875337
2024-04-23 02:03:35,874 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.905997, Class Accuracy: 0.874180
2024-04-23 02:03:46,579 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.907618, Class Accuracy: 0.872686
2024-04-23 02:03:57,489 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.901135, Class Accuracy: 0.867105
2024-04-23 02:04:09,345 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.899514, Class Accuracy: 0.863645
2024-04-23 02:04:23,211 - Model - INFO - data_density_1: Test Instance Accuracy: 0.915721, Class Accuracy: 0.886297
2024-04-23 02:04:36,165 - Model - INFO - data_density_2: Test Instance Accuracy: 0.914100, Class Accuracy: 0.881174
2024-04-23 02:04:46,223 - Model - INFO - data_density_3: Test Instance Accuracy: 0.900324, Class Accuracy: 0.866767
2024-04-23 02:04:56,295 - Model - INFO - data_density_4: Test Instance Accuracy: 0.899514, Class Accuracy: 0.867936
2024-04-23 02:05:06,045 - Model - INFO - data_density_5: Test Instance Accuracy: 0.899919, Class Accuracy: 0.868221
2024-04-23 02:05:18,741 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.912885, Class Accuracy: 0.878547
2024-04-23 02:05:35,334 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.911669, Class Accuracy: 0.879878
2024-04-23 02:05:46,030 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.911669, Class Accuracy: 0.876959
2024-04-23 02:05:58,036 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.901135, Class Accuracy: 0.866058
2024-04-23 02:06:11,465 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.888574, Class Accuracy: 0.848099
2024-04-23 02:06:23,235 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.916532, Class Accuracy: 0.881709
2024-04-23 02:06:34,940 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.905186, Class Accuracy: 0.869750
2024-04-23 02:06:46,488 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.884117, Class Accuracy: 0.845006
2024-04-23 02:06:57,758 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.845624, Class Accuracy: 0.797221
2024-04-23 02:07:09,455 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.789303, Class Accuracy: 0.742192
2024-04-23 02:07:21,173 - Model - INFO - data_gaussian_1: Test Instance Accuracy: 0.905186, Class Accuracy: 0.870715
