2024-04-22 08:18:14,490 - Model - INFO - PARAMETER ...
2024-04-22 08:18:14,491 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='3', log_dir='uad_wfps_t20', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='rweighted', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-22 08:18:15,899 - Model - INFO - Load dataset ...
2024-04-22 08:18:45,991 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.495543, Class Accuracy: 0.538279
2024-04-22 08:19:08,894 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.560373, Class Accuracy: 0.569273
2024-04-22 08:19:31,462 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.565235, Class Accuracy: 0.581779
2024-04-22 08:19:58,190 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.490681, Class Accuracy: 0.540831
2024-04-22 08:20:25,780 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.418963, Class Accuracy: 0.466122
2024-04-22 08:20:47,931 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.473258, Class Accuracy: 0.483547
2024-04-22 08:20:59,647 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.576580, Class Accuracy: 0.563733
2024-04-22 08:21:09,299 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.575365, Class Accuracy: 0.561436
2024-04-22 08:21:19,168 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.477715, Class Accuracy: 0.489564
2024-04-22 08:21:28,602 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.399514, Class Accuracy: 0.423570
2024-04-22 08:21:39,179 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.915721, Class Accuracy: 0.878000
2024-04-22 08:21:49,318 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.912480, Class Accuracy: 0.878756
2024-04-22 08:21:59,441 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.910049, Class Accuracy: 0.872430
2024-04-22 08:22:09,919 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.913695, Class Accuracy: 0.878297
2024-04-22 08:22:20,419 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.905592, Class Accuracy: 0.869012
2024-04-22 08:22:30,742 - Model - INFO - data_density_1: Test Instance Accuracy: 0.912480, Class Accuracy: 0.877378
2024-04-22 08:22:40,701 - Model - INFO - data_density_2: Test Instance Accuracy: 0.912885, Class Accuracy: 0.873709
2024-04-22 08:22:50,256 - Model - INFO - data_density_3: Test Instance Accuracy: 0.907212, Class Accuracy: 0.869884
2024-04-22 08:22:59,465 - Model - INFO - data_density_4: Test Instance Accuracy: 0.905592, Class Accuracy: 0.866680
2024-04-22 08:23:08,572 - Model - INFO - data_density_5: Test Instance Accuracy: 0.903160, Class Accuracy: 0.866465
2024-04-22 08:23:18,939 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.912480, Class Accuracy: 0.876552
