2024-04-30 02:55:53,453 - Model - INFO - PARAMETER ...
2024-04-30 02:55:53,453 - Model - INFO - Namespace(batch_size=24, dataset='MNC', gpu='0', log_dir='pn2_ssg_uod_wfps', model='pointnet2_cls_ssg', num_category=40, num_point=1024, num_votes=3, sample_type='wfps', step_size=0.03, use_cpu=False, use_normal=False, use_normals=False, use_uniform_sample=False, use_upsample='no')
2024-04-30 02:55:56,532 - Model - INFO - Load dataset ...
2024-04-30 02:57:43,201 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.549272, Class Accuracy: 0.580339
2024-04-30 02:59:33,082 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.601294, Class Accuracy: 0.609491
2024-04-30 03:01:19,214 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.615372, Class Accuracy: 0.611993
2024-04-30 03:03:03,752 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.561974, Class Accuracy: 0.576934
2024-04-30 03:05:06,451 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.513673, Class Accuracy: 0.548323
2024-04-30 03:06:59,666 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.526214, Class Accuracy: 0.527470
2024-04-30 03:08:56,931 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.614320, Class Accuracy: 0.590183
2024-04-30 03:10:58,238 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.605906, Class Accuracy: 0.583937
2024-04-30 03:13:08,915 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.515615, Class Accuracy: 0.522817
2024-04-30 03:15:26,078 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.455987, Class Accuracy: 0.461823
2024-04-30 03:17:36,524 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.905906, Class Accuracy: 0.871723
2024-04-30 03:19:49,794 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.906715, Class Accuracy: 0.869727
2024-04-30 03:22:00,827 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.903479, Class Accuracy: 0.869438
2024-04-30 03:24:16,184 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.897492, Class Accuracy: 0.859247
2024-04-30 03:26:28,570 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.899029, Class Accuracy: 0.864914
2024-04-30 03:28:40,383 - Model - INFO - data_density_1: Test Instance Accuracy: 0.910437, Class Accuracy: 0.880396
2024-04-30 03:30:50,190 - Model - INFO - data_density_2: Test Instance Accuracy: 0.912460, Class Accuracy: 0.885116
2024-04-30 03:32:59,500 - Model - INFO - data_density_3: Test Instance Accuracy: 0.904773, Class Accuracy: 0.867754
2024-04-30 03:35:06,159 - Model - INFO - data_density_4: Test Instance Accuracy: 0.906796, Class Accuracy: 0.878769
2024-04-30 03:37:18,342 - Model - INFO - data_density_5: Test Instance Accuracy: 0.902346, Class Accuracy: 0.869176
2024-04-30 03:39:26,273 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.912055, Class Accuracy: 0.875971
2024-04-30 03:41:33,410 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.912864, Class Accuracy: 0.879365
2024-04-30 03:43:44,915 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.908333, Class Accuracy: 0.875321
2024-04-30 03:46:01,476 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.906796, Class Accuracy: 0.871002
2024-04-30 03:48:16,225 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.897168, Class Accuracy: 0.861435
2024-04-30 03:50:31,206 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.875728, Class Accuracy: 0.834533
2024-04-30 03:52:46,599 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.824595, Class Accuracy: 0.778588
2024-04-30 03:55:03,800 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.768851, Class Accuracy: 0.710042
2024-04-30 03:57:19,171 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.695469, Class Accuracy: 0.632676
2024-04-30 03:59:22,237 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.607767, Class Accuracy: 0.547128
2024-04-30 04:01:26,407 - Model - INFO - data_gaussian_1: Test Instance Accuracy: 0.880097, Class Accuracy: 0.844255
2024-04-30 04:03:27,724 - Model - INFO - data_gaussian_2: Test Instance Accuracy: 0.854612, Class Accuracy: 0.804379
2024-04-30 04:05:23,586 - Model - INFO - data_gaussian_3: Test Instance Accuracy: 0.823382, Class Accuracy: 0.761251
