2024-04-12 01:09:18,880 - Model - INFO - PARAMETER ...
2024-04-12 01:09:18,880 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='1', log_dir='oupfps6464_002', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='origin', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-12 01:09:20,374 - Model - INFO - Load dataset ...
2024-04-12 01:09:54,647 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.494733, Class Accuracy: 0.539483
2024-04-12 01:10:24,702 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.557131, Class Accuracy: 0.573523
2024-04-12 01:10:55,438 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.574149, Class Accuracy: 0.584570
2024-04-12 01:11:36,753 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.502431, Class Accuracy: 0.547703
2024-04-12 01:12:29,722 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.445705, Class Accuracy: 0.492244
2024-04-12 01:13:35,130 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.481361, Class Accuracy: 0.499453
2024-04-12 01:14:53,416 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.596029, Class Accuracy: 0.593849
2024-04-12 01:16:24,445 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.623582, Class Accuracy: 0.604360
2024-04-12 01:18:00,723 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.505673, Class Accuracy: 0.533384
2024-04-12 01:19:54,198 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.452998, Class Accuracy: 0.476930
2024-04-12 01:21:48,917 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.916532, Class Accuracy: 0.884709
2024-04-12 01:23:34,886 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.911264, Class Accuracy: 0.876628
2024-04-12 01:25:14,154 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.907212, Class Accuracy: 0.872262
2024-04-12 01:26:57,564 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.907618, Class Accuracy: 0.873930
2024-04-12 01:28:38,922 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.907212, Class Accuracy: 0.871343
2024-04-12 01:30:21,416 - Model - INFO - data_density_1: Test Instance Accuracy: 0.909643, Class Accuracy: 0.875634
2024-04-12 01:32:04,561 - Model - INFO - data_density_2: Test Instance Accuracy: 0.910454, Class Accuracy: 0.875674
2024-04-12 01:33:44,269 - Model - INFO - data_density_3: Test Instance Accuracy: 0.903971, Class Accuracy: 0.867256
2024-04-12 01:35:25,336 - Model - INFO - data_density_4: Test Instance Accuracy: 0.897893, Class Accuracy: 0.863436
2024-04-12 01:37:07,812 - Model - INFO - data_density_5: Test Instance Accuracy: 0.895462, Class Accuracy: 0.864221
2024-04-12 01:38:49,719 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.908833, Class Accuracy: 0.869134
2024-04-12 01:40:34,213 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.909643, Class Accuracy: 0.879930
2024-04-12 01:42:16,221 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.898298, Class Accuracy: 0.862849
2024-04-12 01:43:57,531 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.898703, Class Accuracy: 0.863808
