2024-04-12 01:15:31,421 - Model - INFO - PARAMETER ...
2024-04-12 01:15:31,421 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='3', log_dir='rwupfps6464_002', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='rweighted', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-12 01:15:35,828 - Model - INFO - Load dataset ...
2024-04-12 01:17:24,391 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.475689, Class Accuracy: 0.521703
2024-04-12 01:19:08,373 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.542139, Class Accuracy: 0.564983
2024-04-12 01:21:09,343 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.553890, Class Accuracy: 0.571744
2024-04-12 01:23:05,490 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.475284, Class Accuracy: 0.525122
2024-04-12 01:24:45,336 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.418558, Class Accuracy: 0.467453
2024-04-12 01:26:25,033 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.503647, Class Accuracy: 0.526128
2024-04-12 01:28:05,752 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.597245, Class Accuracy: 0.580820
2024-04-12 01:29:46,381 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.604943, Class Accuracy: 0.584517
2024-04-12 01:31:26,480 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.488655, Class Accuracy: 0.503727
2024-04-12 01:33:06,195 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.430713, Class Accuracy: 0.462145
2024-04-12 01:34:49,935 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.916126, Class Accuracy: 0.886750
2024-04-12 01:36:31,705 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.916126, Class Accuracy: 0.882587
2024-04-12 01:38:13,639 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.908428, Class Accuracy: 0.880430
2024-04-12 01:39:54,864 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.911669, Class Accuracy: 0.878174
2024-04-12 01:41:34,970 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.903971, Class Accuracy: 0.866640
2024-04-12 01:43:15,452 - Model - INFO - data_density_1: Test Instance Accuracy: 0.916532, Class Accuracy: 0.889337
2024-04-12 01:44:57,244 - Model - INFO - data_density_2: Test Instance Accuracy: 0.915721, Class Accuracy: 0.883169
2024-04-12 01:46:40,916 - Model - INFO - data_density_3: Test Instance Accuracy: 0.908023, Class Accuracy: 0.872762
2024-04-12 01:48:19,836 - Model - INFO - data_density_4: Test Instance Accuracy: 0.896677, Class Accuracy: 0.861983
2024-04-12 01:50:00,314 - Model - INFO - data_density_5: Test Instance Accuracy: 0.891005, Class Accuracy: 0.859430
2024-04-12 01:51:31,983 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.918152, Class Accuracy: 0.883169
2024-04-12 01:52:57,453 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.912480, Class Accuracy: 0.881174
2024-04-12 01:54:23,790 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.901945, Class Accuracy: 0.862512
2024-04-12 01:55:31,685 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.900324, Class Accuracy: 0.867349
2024-04-12 01:56:30,600 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.885737, Class Accuracy: 0.842477
2024-04-12 01:57:23,313 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.913695, Class Accuracy: 0.880134
2024-04-12 01:58:17,337 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.907618, Class Accuracy: 0.870221
2024-04-12 01:59:08,543 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.903971, Class Accuracy: 0.865674
2024-04-12 02:00:02,460 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.890194, Class Accuracy: 0.845349
2024-04-12 02:00:53,203 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.873987, Class Accuracy: 0.824686
2024-04-12 02:01:45,356 - Model - INFO - data_gaussian_1: Test Instance Accuracy: 0.909643, Class Accuracy: 0.876424
