2024-04-30 10:54:17,323 - Model - INFO - PARAMETER ...
2024-04-30 10:54:17,323 - Model - INFO - Namespace(batch_size=24, dataset='MNC', gpu='3', log_dir='pn2_ssg_rrwup_fps', model='pointnet2_cls_ssg', num_category=40, num_point=1024, num_votes=3, sample_type='fps', step_size=0.03, use_cpu=False, use_normal=False, use_normals=False, use_uniform_sample=False, use_upsample='no')
2024-04-30 10:54:19,451 - Model - INFO - Load dataset ...
2024-04-30 10:55:05,247 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.582767, Class Accuracy: 0.610226
2024-04-30 10:55:52,676 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.639644, Class Accuracy: 0.641627
2024-04-30 10:56:46,984 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.620146, Class Accuracy: 0.629403
2024-04-30 10:57:41,959 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.580583, Class Accuracy: 0.611301
2024-04-30 10:58:38,890 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.513350, Class Accuracy: 0.555844
2024-04-30 10:59:34,384 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.574757, Class Accuracy: 0.580067
2024-04-30 11:00:21,339 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.659223, Class Accuracy: 0.633220
2024-04-30 11:01:08,411 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.647977, Class Accuracy: 0.626820
2024-04-30 11:01:55,453 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.552184, Class Accuracy: 0.562467
2024-04-30 11:02:42,520 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.512945, Class Accuracy: 0.527851
2024-04-30 11:03:30,688 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.914078, Class Accuracy: 0.881244
2024-04-30 11:04:18,733 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.909709, Class Accuracy: 0.875652
2024-04-30 11:05:06,605 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.902346, Class Accuracy: 0.873149
2024-04-30 11:05:54,412 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.899191, Class Accuracy: 0.864953
2024-04-30 11:06:42,439 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.894741, Class Accuracy: 0.862870
2024-04-30 11:07:30,224 - Model - INFO - data_density_1: Test Instance Accuracy: 0.918608, Class Accuracy: 0.885749
2024-04-30 11:08:18,205 - Model - INFO - data_density_2: Test Instance Accuracy: 0.912540, Class Accuracy: 0.876552
2024-04-30 11:09:04,992 - Model - INFO - data_density_3: Test Instance Accuracy: 0.907686, Class Accuracy: 0.875005
2024-04-30 11:09:51,924 - Model - INFO - data_density_4: Test Instance Accuracy: 0.915291, Class Accuracy: 0.886768
2024-04-30 11:10:39,055 - Model - INFO - data_density_5: Test Instance Accuracy: 0.909709, Class Accuracy: 0.881448
2024-04-30 11:11:27,365 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.913350, Class Accuracy: 0.876924
2024-04-30 11:12:16,159 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.907201, Class Accuracy: 0.873117
2024-04-30 11:13:04,987 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.914159, Class Accuracy: 0.883237
2024-04-30 11:13:52,667 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.909223, Class Accuracy: 0.876840
2024-04-30 11:14:40,332 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.903317, Class Accuracy: 0.859577
2024-04-30 11:15:29,294 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.902427, Class Accuracy: 0.862177
2024-04-30 11:16:18,317 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.884142, Class Accuracy: 0.835065
2024-04-30 11:17:07,467 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.841586, Class Accuracy: 0.792574
2024-04-30 11:17:56,555 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.786570, Class Accuracy: 0.720298
2024-04-30 11:18:45,278 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.698625, Class Accuracy: 0.635989
