2024-04-12 02:55:19,720 - Model - INFO - PARAMETER ...
2024-04-12 02:55:19,720 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='0', log_dir='oupwfps6464_002_t20', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='origin', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-12 02:55:22,439 - Model - INFO - Load dataset ...
2024-04-12 02:55:45,194 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.470827, Class Accuracy: 0.522494
2024-04-12 02:56:03,472 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.550648, Class Accuracy: 0.564407
2024-04-12 02:56:22,126 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.607780, Class Accuracy: 0.624448
2024-04-12 02:56:40,561 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.531199, Class Accuracy: 0.570663
2024-04-12 02:56:58,987 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.444084, Class Accuracy: 0.496244
2024-04-12 02:57:15,552 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.460697, Class Accuracy: 0.482802
2024-04-12 02:57:32,739 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.566856, Class Accuracy: 0.556436
2024-04-12 02:57:50,596 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.642626, Class Accuracy: 0.632052
2024-04-12 02:58:07,422 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.507293, Class Accuracy: 0.540773
2024-04-12 02:58:25,035 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.425041, Class Accuracy: 0.455820
2024-04-12 02:58:48,444 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.911669, Class Accuracy: 0.874587
2024-04-12 02:59:12,997 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.908023, Class Accuracy: 0.868424
2024-04-12 02:59:37,079 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.908833, Class Accuracy: 0.871593
2024-04-12 03:00:02,501 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.908023, Class Accuracy: 0.873012
2024-04-12 03:00:27,810 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.905186, Class Accuracy: 0.866180
2024-04-12 03:00:56,329 - Model - INFO - data_density_1: Test Instance Accuracy: 0.914100, Class Accuracy: 0.878628
2024-04-12 03:01:42,492 - Model - INFO - data_density_2: Test Instance Accuracy: 0.912885, Class Accuracy: 0.878006
2024-04-12 03:02:14,775 - Model - INFO - data_density_3: Test Instance Accuracy: 0.903971, Class Accuracy: 0.868424
2024-04-12 03:03:00,729 - Model - INFO - data_density_4: Test Instance Accuracy: 0.897083, Class Accuracy: 0.859605
2024-04-12 03:03:33,820 - Model - INFO - data_density_5: Test Instance Accuracy: 0.891410, Class Accuracy: 0.851186
2024-04-12 03:04:18,663 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.913695, Class Accuracy: 0.878843
2024-04-12 03:05:03,026 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.905186, Class Accuracy: 0.873465
2024-04-12 03:05:35,569 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.904376, Class Accuracy: 0.867762
2024-04-12 03:05:59,360 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.899919, Class Accuracy: 0.863890
2024-04-12 03:06:23,229 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.882091, Class Accuracy: 0.840070
2024-04-12 03:06:58,465 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.910859, Class Accuracy: 0.872587
2024-04-12 03:07:41,116 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.908023, Class Accuracy: 0.863587
2024-04-12 03:08:21,126 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.895462, Class Accuracy: 0.849500
2024-04-12 03:08:42,352 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.878444, Class Accuracy: 0.819087
2024-04-12 03:09:06,340 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.848055, Class Accuracy: 0.789762
2024-04-12 03:09:24,724 - Model - INFO - data_gaussian_1: Test Instance Accuracy: 0.907212, Class Accuracy: 0.867128
