2024-04-16 08:27:19,530 - Model - INFO - PARAMETER ...
2024-04-16 08:27:19,531 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='3', log_dir='roupwfps6464_003_2_t20', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='origin', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-16 08:27:23,594 - Model - INFO - Load dataset ...
2024-04-16 08:28:21,406 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.509319, Class Accuracy: 0.546674
2024-04-16 08:29:12,318 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.555916, Class Accuracy: 0.571552
2024-04-16 08:30:11,689 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.565235, Class Accuracy: 0.585843
2024-04-16 08:31:13,738 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.514182, Class Accuracy: 0.550105
2024-04-16 08:32:01,616 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.453809, Class Accuracy: 0.494529
2024-04-16 08:32:52,963 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.486629, Class Accuracy: 0.495390
2024-04-16 08:33:36,011 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.591977, Class Accuracy: 0.578802
2024-04-16 08:34:26,711 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.573744, Class Accuracy: 0.558221
2024-04-16 08:35:09,589 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.492301, Class Accuracy: 0.496599
2024-04-16 08:36:01,048 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.427472, Class Accuracy: 0.450930
2024-04-16 08:36:42,919 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.914506, Class Accuracy: 0.873419
2024-04-16 08:37:36,259 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.912075, Class Accuracy: 0.867378
2024-04-16 08:38:20,297 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.912885, Class Accuracy: 0.873500
2024-04-16 08:39:11,380 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.914506, Class Accuracy: 0.869587
2024-04-16 08:39:54,402 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.904781, Class Accuracy: 0.862221
2024-04-16 08:40:27,483 - Model - INFO - data_density_1: Test Instance Accuracy: 0.912075, Class Accuracy: 0.871756
2024-04-16 08:40:55,507 - Model - INFO - data_density_2: Test Instance Accuracy: 0.916126, Class Accuracy: 0.875831
2024-04-16 08:41:39,354 - Model - INFO - data_density_3: Test Instance Accuracy: 0.908833, Class Accuracy: 0.868802
2024-04-16 08:42:01,958 - Model - INFO - data_density_4: Test Instance Accuracy: 0.902350, Class Accuracy: 0.864721
2024-04-16 08:42:23,393 - Model - INFO - data_density_5: Test Instance Accuracy: 0.892626, Class Accuracy: 0.850174
2024-04-16 08:42:45,940 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.912075, Class Accuracy: 0.866169
2024-04-16 08:43:08,979 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.910049, Class Accuracy: 0.869924
2024-04-16 08:43:38,296 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.903566, Class Accuracy: 0.866221
2024-04-16 08:44:29,623 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.895462, Class Accuracy: 0.855721
2024-04-16 08:45:08,906 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.868314, Class Accuracy: 0.815355
2024-04-16 08:45:54,795 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.917342, Class Accuracy: 0.873494
2024-04-16 08:46:30,908 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.913290, Class Accuracy: 0.869872
2024-04-16 08:46:52,118 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.903566, Class Accuracy: 0.855831
2024-04-16 08:47:19,683 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.875203, Class Accuracy: 0.828052
2024-04-16 08:47:49,404 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.841977, Class Accuracy: 0.787692
2024-04-16 08:48:10,869 - Model - INFO - data_gaussian_1: Test Instance Accuracy: 0.913290, Class Accuracy: 0.872209
2024-04-16 08:48:36,225 - Model - INFO - data_gaussian_2: Test Instance Accuracy: 0.899514, Class Accuracy: 0.854628
2024-04-16 08:49:16,778 - Model - INFO - data_gaussian_3: Test Instance Accuracy: 0.880065, Class Accuracy: 0.829052
2024-04-16 08:49:36,250 - Model - INFO - data_gaussian_4: Test Instance Accuracy: 0.841167, Class Accuracy: 0.783110
2024-04-16 08:49:54,782 - Model - INFO - data_gaussian_5: Test Instance Accuracy: 0.784846, Class Accuracy: 0.716802
2024-04-16 08:50:18,819 - Model - INFO - data_impulse_1: Test Instance Accuracy: 0.773096, Class Accuracy: 0.726110
2024-04-16 08:50:35,951 - Model - INFO - data_impulse_2: Test Instance Accuracy: 0.752836, Class Accuracy: 0.707419
2024-04-16 08:51:00,014 - Model - INFO - data_impulse_3: Test Instance Accuracy: 0.713533, Class Accuracy: 0.659721
