2024-04-19 09:30:58,562 - Model - INFO - PARAMETER ...
2024-04-19 09:30:58,563 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='3', log_dir='rrwupwfps6464_003_2_a10', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='rweighted', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-19 09:31:01,276 - Model - INFO - Load dataset ...
2024-04-19 09:31:40,932 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.503241, Class Accuracy: 0.549936
2024-04-19 09:32:24,587 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.570097, Class Accuracy: 0.583674
2024-04-19 09:32:58,491 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.551864, Class Accuracy: 0.574733
2024-04-19 09:33:34,139 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.495543, Class Accuracy: 0.538488
2024-04-19 09:34:08,342 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.444084, Class Accuracy: 0.488076
2024-04-19 09:34:40,362 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.479335, Class Accuracy: 0.493663
2024-04-19 09:35:13,348 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.589141, Class Accuracy: 0.568233
2024-04-19 09:35:45,541 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.579011, Class Accuracy: 0.564884
2024-04-19 09:36:19,429 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.471637, Class Accuracy: 0.476436
2024-04-19 09:36:52,338 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.400729, Class Accuracy: 0.417517
2024-04-19 09:37:26,865 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.907212, Class Accuracy: 0.875959
2024-04-19 09:38:00,384 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.907618, Class Accuracy: 0.873634
2024-04-19 09:38:35,429 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.892626, Class Accuracy: 0.861064
2024-04-19 09:39:10,164 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.898298, Class Accuracy: 0.866552
2024-04-19 09:39:44,882 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.892220, Class Accuracy: 0.861308
2024-04-19 09:40:20,725 - Model - INFO - data_density_1: Test Instance Accuracy: 0.903971, Class Accuracy: 0.874843
2024-04-19 09:40:53,854 - Model - INFO - data_density_2: Test Instance Accuracy: 0.905997, Class Accuracy: 0.877343
2024-04-19 09:41:27,455 - Model - INFO - data_density_3: Test Instance Accuracy: 0.889789, Class Accuracy: 0.854302
2024-04-19 09:42:00,769 - Model - INFO - data_density_4: Test Instance Accuracy: 0.892220, Class Accuracy: 0.855099
2024-04-19 09:42:32,553 - Model - INFO - data_density_5: Test Instance Accuracy: 0.882091, Class Accuracy: 0.850855
2024-04-19 09:43:05,558 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.906807, Class Accuracy: 0.875797
2024-04-19 09:43:37,792 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.904781, Class Accuracy: 0.870634
