2024-04-19 08:58:05,132 - Model - INFO - PARAMETER ...
2024-04-19 08:58:05,132 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='3', log_dir='rrwupwfps6464_003_2_m20', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='rweighted', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-19 08:58:06,722 - Model - INFO - Load dataset ...
2024-04-19 08:58:46,712 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.508914, Class Accuracy: 0.549913
2024-04-19 08:59:30,674 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.596029, Class Accuracy: 0.597186
2024-04-19 09:00:17,595 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.565235, Class Accuracy: 0.579698
2024-04-19 09:01:04,709 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.480956, Class Accuracy: 0.532541
2024-04-19 09:01:47,259 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.448541, Class Accuracy: 0.498081
2024-04-19 09:02:32,406 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.523906, Class Accuracy: 0.540581
2024-04-19 09:03:16,146 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.629660, Class Accuracy: 0.604640
2024-04-19 09:03:59,144 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.617909, Class Accuracy: 0.601634
2024-04-19 09:04:40,114 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.500000, Class Accuracy: 0.526483
2024-04-19 09:05:11,083 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.459076, Class Accuracy: 0.494012
2024-04-19 09:05:45,538 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.913290, Class Accuracy: 0.874331
2024-04-19 09:06:19,516 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.913695, Class Accuracy: 0.883215
2024-04-19 09:06:52,794 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.912885, Class Accuracy: 0.879512
2024-04-19 09:07:26,765 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.912480, Class Accuracy: 0.878930
2024-04-19 09:08:00,309 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.905592, Class Accuracy: 0.868715
2024-04-19 09:08:33,946 - Model - INFO - data_density_1: Test Instance Accuracy: 0.914100, Class Accuracy: 0.883797
2024-04-19 09:09:07,150 - Model - INFO - data_density_2: Test Instance Accuracy: 0.912885, Class Accuracy: 0.879465
2024-04-19 09:09:41,177 - Model - INFO - data_density_3: Test Instance Accuracy: 0.900729, Class Accuracy: 0.862512
2024-04-19 09:10:11,620 - Model - INFO - data_density_4: Test Instance Accuracy: 0.902350, Class Accuracy: 0.864640
2024-04-19 09:10:42,772 - Model - INFO - data_density_5: Test Instance Accuracy: 0.893031, Class Accuracy: 0.860645
2024-04-19 09:11:15,737 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.910049, Class Accuracy: 0.874047
2024-04-19 09:11:47,035 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.905592, Class Accuracy: 0.876762
2024-04-19 09:12:21,214 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.900729, Class Accuracy: 0.864802
2024-04-19 09:12:54,956 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.896677, Class Accuracy: 0.862680
2024-04-19 09:13:29,139 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.874392, Class Accuracy: 0.828395
2024-04-19 09:14:06,113 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.912480, Class Accuracy: 0.881669
2024-04-19 09:14:43,681 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.902350, Class Accuracy: 0.868297
2024-04-19 09:15:17,583 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.894246, Class Accuracy: 0.856128
2024-04-19 09:15:53,245 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.877229, Class Accuracy: 0.830465
2024-04-19 09:16:28,502 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.850891, Class Accuracy: 0.805430
