2024-04-20 08:27:42,771 - Model - INFO - PARAMETER ...
2024-04-20 08:27:42,771 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='3', log_dir='rrwupwfps6464_003_2_t20', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='rweighted', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-20 08:27:44,071 - Model - INFO - Load dataset ...
2024-04-20 08:28:00,401 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.480956, Class Accuracy: 0.523698
2024-04-20 08:28:13,092 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.571718, Class Accuracy: 0.576151
2024-04-20 08:28:26,021 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.553890, Class Accuracy: 0.569663
2024-04-20 08:28:38,435 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.500810, Class Accuracy: 0.550000
2024-04-20 08:28:50,925 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.432739, Class Accuracy: 0.481703
2024-04-20 08:29:01,997 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.489060, Class Accuracy: 0.513465
2024-04-20 08:29:15,817 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.598460, Class Accuracy: 0.578360
2024-04-20 08:29:31,385 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.582658, Class Accuracy: 0.560977
2024-04-20 08:29:42,780 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.491896, Class Accuracy: 0.516198
2024-04-20 08:29:53,897 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.429092, Class Accuracy: 0.456605
2024-04-20 08:30:06,384 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.918558, Class Accuracy: 0.878122
2024-04-20 08:30:19,504 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.915316, Class Accuracy: 0.874215
2024-04-20 08:30:34,254 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.907618, Class Accuracy: 0.866680
2024-04-20 08:30:49,167 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.910049, Class Accuracy: 0.871680
2024-04-20 08:31:01,859 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.905592, Class Accuracy: 0.863640
2024-04-20 08:31:14,118 - Model - INFO - data_density_1: Test Instance Accuracy: 0.919368, Class Accuracy: 0.883709
2024-04-20 08:31:25,979 - Model - INFO - data_density_2: Test Instance Accuracy: 0.914100, Class Accuracy: 0.876797
