2024-04-13 03:17:21,692 - Model - INFO - PARAMETER ...
2024-04-13 03:17:21,692 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='0', log_dir='rwupwfps6464_002_m20', model_path='', num_category=40, num_points=1024, num_votes=3, step_size=0.02, test_batch_size=8, upsample_pc='rweighted', use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-04-13 03:17:24,835 - Model - INFO - Load dataset ...
2024-04-13 03:18:19,899 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.497569, Class Accuracy: 0.543029
2024-04-13 03:19:26,839 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.571718, Class Accuracy: 0.581355
2024-04-13 03:20:37,361 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.582658, Class Accuracy: 0.605198
2024-04-13 03:21:54,641 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.502431, Class Accuracy: 0.541413
2024-04-13 03:23:10,892 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.429498, Class Accuracy: 0.479616
2024-04-13 03:24:24,434 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.487439, Class Accuracy: 0.510459
2024-04-13 03:25:35,836 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.611426, Class Accuracy: 0.593564
2024-04-13 03:26:46,670 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.623582, Class Accuracy: 0.605087
2024-04-13 03:27:56,348 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.527147, Class Accuracy: 0.539302
2024-04-13 03:29:11,026 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.435575, Class Accuracy: 0.465140
2024-04-13 03:30:31,157 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.916532, Class Accuracy: 0.877494
2024-04-13 03:32:01,492 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.910859, Class Accuracy: 0.874256
2024-04-13 03:33:36,175 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.905186, Class Accuracy: 0.874302
2024-04-13 03:35:19,521 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.903566, Class Accuracy: 0.866587
2024-04-13 03:36:58,879 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.907212, Class Accuracy: 0.870709
2024-04-13 03:38:33,694 - Model - INFO - data_density_1: Test Instance Accuracy: 0.910049, Class Accuracy: 0.875169
2024-04-13 03:40:03,875 - Model - INFO - data_density_2: Test Instance Accuracy: 0.908833, Class Accuracy: 0.871547
2024-04-13 03:41:35,032 - Model - INFO - data_density_3: Test Instance Accuracy: 0.901135, Class Accuracy: 0.867797
2024-04-13 03:42:48,278 - Model - INFO - data_density_4: Test Instance Accuracy: 0.899109, Class Accuracy: 0.864640
2024-04-13 03:43:58,535 - Model - INFO - data_density_5: Test Instance Accuracy: 0.899109, Class Accuracy: 0.868302
2024-04-13 03:45:08,776 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.915721, Class Accuracy: 0.878750
2024-04-13 03:46:09,567 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.905997, Class Accuracy: 0.873878
2024-04-13 03:47:11,858 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.895867, Class Accuracy: 0.861884
2024-04-13 03:48:10,588 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.899919, Class Accuracy: 0.867215
2024-04-13 03:49:17,850 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.874797, Class Accuracy: 0.834610
2024-04-13 03:50:25,244 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.913695, Class Accuracy: 0.878250
2024-04-13 03:51:29,436 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.903160, Class Accuracy: 0.862669
2024-04-13 03:52:30,465 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.895462, Class Accuracy: 0.859622
2024-04-13 03:53:38,471 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.867504, Class Accuracy: 0.820006
