2024-04-30 06:46:11,634 - Model - INFO - PARAMETER ...
2024-04-30 06:46:11,634 - Model - INFO - Namespace(batch_size=24, dataset='MNC', gpu='3', log_dir='pn2_ssg_roup_wfps', model='pointnet2_cls_ssg', num_category=40, num_point=1024, num_votes=3, sample_type='wfps', step_size=0.03, use_cpu=False, use_normal=False, use_normals=False, use_uniform_sample=False, use_upsample='r_oup')
2024-04-30 06:46:12,830 - Model - INFO - Load dataset ...
2024-04-30 06:46:37,867 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.566181, Class Accuracy: 0.599894
2024-04-30 06:47:01,857 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.593528, Class Accuracy: 0.607448
2024-04-30 06:47:25,808 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.605583, Class Accuracy: 0.628318
2024-04-30 06:47:49,678 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.554207, Class Accuracy: 0.593239
2024-04-30 06:48:14,935 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.500728, Class Accuracy: 0.545385
2024-04-30 06:48:37,532 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.518123, Class Accuracy: 0.531905
2024-04-30 06:48:58,594 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.595874, Class Accuracy: 0.579560
2024-04-30 06:49:19,714 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.593528, Class Accuracy: 0.590661
2024-04-30 06:49:43,127 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.512055, Class Accuracy: 0.540551
2024-04-30 06:50:11,135 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.468932, Class Accuracy: 0.499921
2024-04-30 06:50:37,702 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.903641, Class Accuracy: 0.871814
2024-04-30 06:51:01,619 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.897654, Class Accuracy: 0.864740
2024-04-30 06:51:27,942 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.899676, Class Accuracy: 0.868297
2024-04-30 06:52:02,038 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.890615, Class Accuracy: 0.856903
2024-04-30 06:52:33,694 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.883819, Class Accuracy: 0.851864
2024-04-30 06:52:59,704 - Model - INFO - data_density_1: Test Instance Accuracy: 0.904045, Class Accuracy: 0.874841
2024-04-30 06:53:33,472 - Model - INFO - data_density_2: Test Instance Accuracy: 0.904531, Class Accuracy: 0.870392
