2024-04-30 03:22:33,895 - Model - INFO - PARAMETER ...
2024-04-30 03:22:33,895 - Model - INFO - Namespace(batch_size=24, dataset='MNC', gpu='0', log_dir='pn2_ssg_roup_wfps', model='pointnet2_cls_ssg', num_category=40, num_point=1024, num_votes=3, sample_type='wfps', step_size=0.03, use_cpu=False, use_normal=False, use_normals=False, use_uniform_sample=False, use_upsample='no')
2024-04-30 03:22:37,257 - Model - INFO - Load dataset ...
2024-04-30 03:23:19,408 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.566505, Class Accuracy: 0.593129
2024-04-30 03:23:56,009 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.607686, Class Accuracy: 0.614780
2024-04-30 03:24:34,350 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.603560, Class Accuracy: 0.617339
2024-04-30 03:25:17,535 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.561003, Class Accuracy: 0.600024
2024-04-30 03:25:53,973 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.509223, Class Accuracy: 0.556195
2024-04-30 03:26:29,747 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.536570, Class Accuracy: 0.538987
2024-04-30 03:27:06,337 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.617314, Class Accuracy: 0.586030
2024-04-30 03:27:43,464 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.619498, Class Accuracy: 0.600204
2024-04-30 03:28:16,170 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.533091, Class Accuracy: 0.543304
2024-04-30 03:28:51,274 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.478560, Class Accuracy: 0.502536
2024-04-30 03:29:30,196 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.906472, Class Accuracy: 0.868771
2024-04-30 03:30:04,129 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.898058, Class Accuracy: 0.862696
2024-04-30 03:30:40,923 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.897573, Class Accuracy: 0.861413
2024-04-30 03:31:20,646 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.891100, Class Accuracy: 0.853732
2024-04-30 03:31:57,048 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.891019, Class Accuracy: 0.861672
2024-04-30 03:32:32,785 - Model - INFO - data_density_1: Test Instance Accuracy: 0.907282, Class Accuracy: 0.872547
2024-04-30 03:33:09,055 - Model - INFO - data_density_2: Test Instance Accuracy: 0.908495, Class Accuracy: 0.873123
2024-04-30 03:33:46,874 - Model - INFO - data_density_3: Test Instance Accuracy: 0.905259, Class Accuracy: 0.867036
2024-04-30 03:34:20,254 - Model - INFO - data_density_4: Test Instance Accuracy: 0.906796, Class Accuracy: 0.869299
2024-04-30 03:34:52,294 - Model - INFO - data_density_5: Test Instance Accuracy: 0.904126, Class Accuracy: 0.866279
2024-04-30 03:35:30,782 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.905178, Class Accuracy: 0.869165
2024-04-30 03:36:06,561 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.907282, Class Accuracy: 0.870660
2024-04-30 03:36:41,058 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.910599, Class Accuracy: 0.877082
2024-04-30 03:37:19,336 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.902427, Class Accuracy: 0.866441
2024-04-30 03:37:51,317 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.902023, Class Accuracy: 0.866757
2024-04-30 03:38:28,302 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.869984, Class Accuracy: 0.830952
2024-04-30 03:39:04,503 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.819741, Class Accuracy: 0.780458
2024-04-30 03:39:44,682 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.739806, Class Accuracy: 0.700204
