2024-04-30 02:53:30,594 - Model - INFO - PARAMETER ...
2024-04-30 02:53:30,594 - Model - INFO - Namespace(batch_size=24, dataset='MNC', gpu='0', log_dir='pn2_ssg_rrwup_wfps', model='pointnet2_cls_ssg', num_category=40, num_point=1024, num_votes=3, sample_type='wfps', step_size=0.03, use_cpu=False, use_normal=False, use_normals=False, use_uniform_sample=False, use_upsample='no')
2024-04-30 02:53:34,023 - Model - INFO - Load dataset ...
2024-04-30 02:54:59,350 - Model - INFO - data_occlusion_1: Test Instance Accuracy: 0.605502, Class Accuracy: 0.617356
2024-04-30 02:56:25,992 - Model - INFO - data_occlusion_2: Test Instance Accuracy: 0.673706, Class Accuracy: 0.674965
2024-04-30 02:58:06,816 - Model - INFO - data_occlusion_3: Test Instance Accuracy: 0.658900, Class Accuracy: 0.657331
2024-04-30 02:59:55,613 - Model - INFO - data_occlusion_4: Test Instance Accuracy: 0.619175, Class Accuracy: 0.641549
2024-04-30 03:01:42,856 - Model - INFO - data_occlusion_5: Test Instance Accuracy: 0.549110, Class Accuracy: 0.573094
2024-04-30 03:03:27,967 - Model - INFO - data_lidar_1: Test Instance Accuracy: 0.607201, Class Accuracy: 0.601728
2024-04-30 03:05:25,330 - Model - INFO - data_lidar_2: Test Instance Accuracy: 0.692071, Class Accuracy: 0.654132
2024-04-30 03:07:15,727 - Model - INFO - data_lidar_3: Test Instance Accuracy: 0.701133, Class Accuracy: 0.675604
2024-04-30 03:09:16,291 - Model - INFO - data_lidar_4: Test Instance Accuracy: 0.636084, Class Accuracy: 0.635436
2024-04-30 03:11:19,600 - Model - INFO - data_lidar_5: Test Instance Accuracy: 0.579369, Class Accuracy: 0.588351
2024-04-30 03:13:36,505 - Model - INFO - data_density_inc_1: Test Instance Accuracy: 0.905663, Class Accuracy: 0.870997
2024-04-30 03:15:54,880 - Model - INFO - data_density_inc_2: Test Instance Accuracy: 0.904369, Class Accuracy: 0.869969
2024-04-30 03:18:06,397 - Model - INFO - data_density_inc_3: Test Instance Accuracy: 0.904450, Class Accuracy: 0.868004
2024-04-30 03:20:18,938 - Model - INFO - data_density_inc_4: Test Instance Accuracy: 0.900243, Class Accuracy: 0.868947
2024-04-30 03:22:30,188 - Model - INFO - data_density_inc_5: Test Instance Accuracy: 0.899919, Class Accuracy: 0.874698
2024-04-30 03:24:43,657 - Model - INFO - data_density_1: Test Instance Accuracy: 0.911246, Class Accuracy: 0.878543
2024-04-30 03:26:54,494 - Model - INFO - data_density_2: Test Instance Accuracy: 0.910841, Class Accuracy: 0.876776
2024-04-30 03:29:05,871 - Model - INFO - data_density_3: Test Instance Accuracy: 0.905987, Class Accuracy: 0.872075
2024-04-30 03:31:14,591 - Model - INFO - data_density_4: Test Instance Accuracy: 0.903560, Class Accuracy: 0.876478
2024-04-30 03:33:18,700 - Model - INFO - data_density_5: Test Instance Accuracy: 0.905583, Class Accuracy: 0.873353
2024-04-30 03:35:35,469 - Model - INFO - data_cutout_1: Test Instance Accuracy: 0.910032, Class Accuracy: 0.878472
2024-04-30 03:37:43,104 - Model - INFO - data_cutout_2: Test Instance Accuracy: 0.908414, Class Accuracy: 0.873232
2024-04-30 03:39:51,194 - Model - INFO - data_cutout_3: Test Instance Accuracy: 0.912460, Class Accuracy: 0.879125
2024-04-30 03:42:00,281 - Model - INFO - data_cutout_4: Test Instance Accuracy: 0.906472, Class Accuracy: 0.870083
2024-04-30 03:44:05,703 - Model - INFO - data_cutout_5: Test Instance Accuracy: 0.899919, Class Accuracy: 0.862928
2024-04-30 03:46:27,154 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.904854, Class Accuracy: 0.868275
2024-04-30 03:48:46,613 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.897168, Class Accuracy: 0.851128
