2024-03-25 08:40:17,906 - Model - INFO - PARAMETER ...
2024-03-25 08:40:17,906 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='1', log_dir='p10', model_path='', num_category=40, num_points=1024, num_votes=3, test_batch_size=8, use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-03-25 08:40:19,543 - Model - INFO - Load dataset ...
2024-03-25 08:40:39,321 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.923420, Class Accuracy: 0.890744
2024-03-25 08:40:54,106 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.914506, Class Accuracy: 0.885203
2024-03-25 08:41:08,988 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.903971, Class Accuracy: 0.869291
2024-03-25 08:41:23,592 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.882496, Class Accuracy: 0.838174
2024-03-25 08:41:38,481 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.848460, Class Accuracy: 0.783599
2024-03-25 08:41:53,169 - Model - INFO - data_gaussian_1: Test Instance Accuracy: 0.911264, Class Accuracy: 0.877122
2024-03-25 08:42:07,941 - Model - INFO - data_gaussian_2: Test Instance Accuracy: 0.899514, Class Accuracy: 0.868180
2024-03-25 08:42:22,663 - Model - INFO - data_gaussian_3: Test Instance Accuracy: 0.883712, Class Accuracy: 0.838471
2024-03-25 08:42:36,912 - Model - INFO - data_gaussian_4: Test Instance Accuracy: 0.850081, Class Accuracy: 0.806407
2024-03-25 08:42:51,033 - Model - INFO - data_gaussian_5: Test Instance Accuracy: 0.821313, Class Accuracy: 0.763953
2024-03-25 08:43:05,367 - Model - INFO - data_background_1: Test Instance Accuracy: 0.632091, Class Accuracy: 0.565506
2024-03-25 08:43:19,795 - Model - INFO - data_background_2: Test Instance Accuracy: 0.609400, Class Accuracy: 0.552634
2024-03-25 08:43:34,209 - Model - INFO - data_background_3: Test Instance Accuracy: 0.564830, Class Accuracy: 0.502483
