2024-03-26 07:51:30,538 - Model - INFO - PARAMETER ...
2024-03-26 07:51:30,538 - Model - INFO - Namespace(batch_size=24, dataset='MNC', dropout=0.5, gpu='2', log_dir='m20', model_path='', num_category=40, num_points=1024, num_votes=3, test_batch_size=8, use_cpu=False, use_normals=False, use_uniform_sample=False)
2024-03-26 07:51:33,683 - Model - INFO - Load dataset ...
2024-03-26 07:51:45,773 - Model - INFO - data_uniform_1: Test Instance Accuracy: 0.923015, Class Accuracy: 0.886081
2024-03-26 07:51:52,106 - Model - INFO - data_uniform_2: Test Instance Accuracy: 0.918558, Class Accuracy: 0.883831
2024-03-26 07:51:58,363 - Model - INFO - data_uniform_3: Test Instance Accuracy: 0.903566, Class Accuracy: 0.858843
2024-03-26 07:52:04,735 - Model - INFO - data_uniform_4: Test Instance Accuracy: 0.886143, Class Accuracy: 0.833436
2024-03-26 07:52:11,223 - Model - INFO - data_uniform_5: Test Instance Accuracy: 0.861021, Class Accuracy: 0.801657
2024-03-26 07:52:17,915 - Model - INFO - data_gaussian_1: Test Instance Accuracy: 0.918152, Class Accuracy: 0.882378
2024-03-26 07:52:29,560 - Model - INFO - data_gaussian_2: Test Instance Accuracy: 0.913695, Class Accuracy: 0.872547
2024-03-26 07:52:41,543 - Model - INFO - data_gaussian_3: Test Instance Accuracy: 0.893436, Class Accuracy: 0.842349
2024-03-26 07:52:53,232 - Model - INFO - data_gaussian_4: Test Instance Accuracy: 0.850081, Class Accuracy: 0.794209
2024-03-26 07:53:05,615 - Model - INFO - data_gaussian_5: Test Instance Accuracy: 0.818071, Class Accuracy: 0.753599
2024-03-26 07:53:24,544 - Model - INFO - data_background_1: Test Instance Accuracy: 0.916126, Class Accuracy: 0.886000
2024-03-26 07:53:44,049 - Model - INFO - data_background_2: Test Instance Accuracy: 0.915316, Class Accuracy: 0.883506
2024-03-26 07:54:03,561 - Model - INFO - data_background_3: Test Instance Accuracy: 0.906402, Class Accuracy: 0.875378
2024-03-26 07:54:22,936 - Model - INFO - data_background_4: Test Instance Accuracy: 0.903971, Class Accuracy: 0.870459
2024-03-26 07:54:41,509 - Model - INFO - data_background_5: Test Instance Accuracy: 0.875203, Class Accuracy: 0.840099
2024-03-26 07:54:59,176 - Model - INFO - data_impulse_1: Test Instance Accuracy: 0.855348, Class Accuracy: 0.812331
2024-03-26 07:55:17,284 - Model - INFO - data_impulse_2: Test Instance Accuracy: 0.853323, Class Accuracy: 0.812872
2024-03-26 07:55:35,627 - Model - INFO - data_impulse_3: Test Instance Accuracy: 0.839546, Class Accuracy: 0.791756
2024-03-26 07:55:53,610 - Model - INFO - data_impulse_4: Test Instance Accuracy: 0.796596, Class Accuracy: 0.738640
2024-03-26 07:56:12,321 - Model - INFO - data_impulse_5: Test Instance Accuracy: 0.711912, Class Accuracy: 0.638512
2024-03-26 07:56:31,876 - Model - INFO - data_upsampling_1: Test Instance Accuracy: 0.894652, Class Accuracy: 0.847058
2024-03-26 07:56:51,656 - Model - INFO - data_upsampling_2: Test Instance Accuracy: 0.895462, Class Accuracy: 0.851605
2024-03-26 07:57:10,859 - Model - INFO - data_upsampling_3: Test Instance Accuracy: 0.888979, Class Accuracy: 0.842686
